# Freiraum-Messung des XBandAbsorbers mit 15 und 150 Ohm Widerstaenden
# f [GHz], Re(S11), Im(S11), Re(S21), Im(S21)
2, -1.06968, 0.1981, -0.10496, 0.01596
2.00813, -1.07797, 0.24664, -0.09539, 0.06557
2.01625, -1.0506, 0.30002, -0.05899, 0.10036
2.02438, -1.00203, 0.3315, -0.01445, 0.10698
2.0325, -0.94656, 0.32717, 0.02172, 0.0967
2.04062, -0.91564, 0.29425, 0.04125, 0.0778
2.04875, -0.91083, 0.26196, 0.05419, 0.05888
2.05687, -0.91357, 0.23833, 0.06477, 0.0425
2.065, -0.9174, 0.22735, 0.07051, 0.02495
2.07313, -0.92717, 0.21928, 0.07287, 0.00426
2.08125, -0.92657, 0.20839, 0.07265, -0.01915
2.08938, -0.9334, 0.19553, 0.06268, -0.04707
2.0975, -0.93797, 0.18317, 0.03821, -0.07003
2.10562, -0.95421, 0.1689, -0.00184, -0.08154
2.11375, -0.98624, 0.16195, -0.04405, -0.0726
2.12188, -1.016, 0.18352, -0.07449, -0.035
2.13, -1.02379, 0.21493, -0.07757, 0.0076
2.13813, -1.02358, 0.24349, -0.06332, 0.04607
2.14625, -1.00643, 0.25711, -0.02705, 0.06079
2.15437, -0.98493, 0.2692, -7.97211E-4, 0.05743
2.1625, -0.96362, 0.26632, 0.01552, 0.04347
2.17062, -0.95252, 0.25347, 0.01882, 0.029
2.17875, -0.95274, 0.24525, 0.01518, 0.02053
2.18688, -0.95451, 0.24148, 0.01209, 0.02189
2.195, -0.95724, 0.24241, 0.01443, 0.0246
2.20313, -0.95747, 0.2447, 0.02078, 0.02332
2.21125, -0.95146, 0.24951, 0.0291, 0.01949
2.21937, -0.94268, 0.25115, 0.03337, 0.00976
2.2275, -0.93355, 0.24783, 0.03316, -0.00146
2.23563, -0.92625, 0.23528, 0.02655, -0.01354
2.24375, -0.92734, 0.22319, 0.01581, -0.0166
2.25188, -0.93397, 0.21447, 0.00615, -0.01517
2.26, -0.94488, 0.20798, 7.71808E-4, -0.0112
2.26812, -0.95813, 0.21047, -8.67806E-4, -0.00675
2.27625, -0.96335, 0.21626, 4.97515E-4, -0.00495
2.28437, -0.96652, 0.21988, -3.67794E-4, -0.00765
2.2925, -0.97073, 0.22193, -0.00473, -0.00996
2.30063, -0.97799, 0.22831, -0.0101, -0.00932
2.30875, -0.98539, 0.23474, -0.02007, -0.0076
2.31688, -0.99036, 0.25371, -0.02726, 0.00367
2.325, -0.9874, 0.26995, -0.03015, 0.01729
2.33312, -0.9817, 0.28622, -0.02067, 0.03025
2.34125, -0.96256, 0.29441, -0.00792, 0.03641
2.34938, -0.94531, 0.29865, 2.19844E-4, 0.0362
2.3575, -0.93923, 0.2909, 0.00624, 0.03441
2.36563, -0.93007, 0.28793, 0.0129, 0.03288
2.37375, -0.92641, 0.28623, 0.0182, 0.03039
2.38188, -0.92225, 0.28218, 0.02415, 0.0261
2.39, -0.9214, 0.27934, 0.02916, 0.02028
2.39812, -0.91616, 0.2753, 0.03413, 0.01504
2.40625, -0.91629, 0.26712, 0.03775, 0.0046
2.41438, -0.91426, 0.26499, 0.03665, -0.0065
2.4225, -0.91215, 0.25829, 0.03172, -0.01832
2.43063, -0.91211, 0.25258, 0.02094, -0.0282
2.43875, -0.92333, 0.24632, 0.00504, -0.03069
2.44687, -0.93345, 0.24729, -0.00866, -0.02765
2.455, -0.94646, 0.25258, -0.019, -0.01962
2.46312, -0.95964, 0.26098, -0.02836, -0.01067
2.47125, -0.96564, 0.27408, -0.03289, 0.00419
2.47938, -0.96642, 0.2874, -0.03203, 0.01768
2.4875, -0.95997, 0.29958, -0.02572, 0.03161
2.49563, -0.95777, 0.3137, -0.01604, 0.04072
2.50375, -0.95033, 0.32352, -0.00488, 0.05058
2.51187, -0.93418, 0.33433, 0.01471, 0.05271
2.52, -0.91538, 0.34142, 0.03303, 0.04784
2.52813, -0.88976, 0.336, 0.05113, 0.03149
2.53625, -0.87356, 0.31712, 0.05479, 0.00935
2.54438, -0.86907, 0.29891, 0.04987, -0.00984
2.5525, -0.88103, 0.28031, 0.03418, -0.02328
2.56062, -0.89682, 0.27131, 0.01865, -0.0272
2.56875, -0.90772, 0.26989, 0.00525, -0.0203
2.57688, -0.91598, 0.27896, 0.0015, -0.01142
2.585, -0.91874, 0.28368, 0.00161, -0.00703
2.59313, -0.92118, 0.2839, 0.0037, -0.00616
2.60125, -0.92191, 0.2871, 0.00578, -0.00648
2.60938, -0.92233, 0.28707, 0.00504, -0.01126
2.6175, -0.92433, 0.28515, -6.57233E-4, -0.01481
2.62562, -0.92697, 0.28667, -0.01084, -0.01498
2.63375, -0.93032, 0.28943, -0.02247, -0.00783
2.64187, -0.93505, 0.29859, -0.02593, 0.00843
2.65, -0.93562, 0.31092, -0.01973, 0.02166
2.65813, -0.92551, 0.319, -0.00708, 0.02723
2.66625, -0.91696, 0.31968, 0.0045, 0.02478
2.67437, -0.90963, 0.31292, 0.00826, 0.02002
2.6825, -0.90803, 0.31103, 0.00991, 0.01499
2.69062, -0.90808, 0.30997, 0.00737, 0.01624
2.69875, -0.90455, 0.31184, 0.01142, 0.01814
2.70688, -0.90683, 0.30868, 0.01566, 0.01848
2.715, -0.90096, 0.30478, 0.02567, 0.01577
2.72313, -0.89863, 0.30306, 0.0328, 0.007
2.73125, -0.89243, 0.2961, 0.03731, -0.00763
2.73937, -0.89664, 0.28633, 0.02886, -0.02668
2.7475, -0.90538, 0.27433, 0.01031, -0.036
2.75563, -0.92283, 0.26887, -0.01153, -0.03652
2.76375, -0.94278, 0.27726, -0.02811, -0.02067
2.77188, -0.95444, 0.29473, -0.03286, -0.00274
2.78, -0.95456, 0.31415, -0.02849, 0.01314
2.78813, -0.94869, 0.32335, -0.01835, 0.02113
2.79625, -0.93755, 0.32992, -0.00982, 0.02359
2.80437, -0.93253, 0.33054, -0.00537, 0.0229
2.8125, -0.9301, 0.33031, -0.0017, 0.02296
2.82063, -0.92763, 0.33253, 0.003, 0.02423
2.82875, -0.9225, 0.33496, 0.00671, 0.02234
2.83688, -0.91976, 0.33802, 0.01007, 0.02263
2.845, -0.91566, 0.33588, 0.01583, 0.02122
2.85312, -0.91293, 0.33437, 0.02056, 0.0167
2.86125, -0.91019, 0.32967, 0.0228, 0.00693
2.86937, -0.91179, 0.32729, 0.01846, 3.86215E-4
2.8775, -0.9196, 0.322, 0.01493, -0.00301
2.88563, -0.92265, 0.3237, 0.0082, -0.00419
2.89375, -0.92601, 0.32346, 0.00356, -0.00286
2.90188, -0.93063, 0.32589, -3.33216E-4, -3.4912E-4
2.91, -0.93591, 0.33145, -0.00368, 0.00437
2.91812, -0.9398, 0.34011, -0.00528, 0.01025
2.92625, -0.93698, 0.34858, -0.00227, 0.01647
2.93438, -0.93475, 0.35786, 0.00544, 0.01949
2.9425, -0.92615, 0.36474, 0.01225, 0.01834
2.95063, -0.91874, 0.3657, 0.01362, 0.01156
2.95875, -0.91365, 0.36363, 0.01335, 0.00942
2.96687, -0.91278, 0.3616, 0.01056, 0.00807
2.975, -0.91068, 0.36609, 0.00981, 0.00939
2.98313, -0.90717, 0.36557, 0.01068, 0.01038
2.99125, -0.90624, 0.36361, 0.01228, 0.01092
2.99938, -0.90189, 0.3598, 0.01639, 0.01088
3.0075, -0.90661, 0.35768, 0.01639, 0.01104
3.01563, -0.90553, 0.35792, 0.02081, 0.00844
3.02375, -0.90503, 0.36045, 0.02312, 0.00235
3.03187, -0.90326, 0.3617, 0.02033, -0.00308
3.04, -0.9016, 0.3595, 0.01467, -0.00661
3.04813, -0.90795, 0.35891, 0.01007, -0.00505
3.05625, -0.90445, 0.35784, 0.0084, -0.00328
3.06438, -0.90637, 0.36184, 0.00638, -8.68482E-4
3.0725, -0.90283, 0.36381, 0.00799, 9.92423E-4
3.08062, -0.90599, 0.36612, 0.0083, 0.00125
3.08875, -0.90452, 0.36975, 0.00942, 8.27903E-4
3.09687, -0.90398, 0.37056, 0.00914, -9.04416E-4
3.105, -0.90832, 0.37554, 0.00743, -5.68312E-4
3.11313, -0.90452, 0.37504, 0.00583, -0.00202
3.12125, -0.90651, 0.38236, 0.00409, 1.02685E-4
3.12938, -0.90557, 0.38603, 0.00304, 0.00223
3.1375, -0.90475, 0.38958, 0.00148, 0.00764
3.14562, -0.90022, 0.39348, 0.00725, 0.01297
3.15375, -0.89301, 0.39391, 0.01567, 0.01184
3.16188, -0.8828, 0.39313, 0.02184, 0.00604
3.17, -0.87868, 0.38884, 0.02027, -6.69341E-4
3.17813, -0.87708, 0.38158, 0.01814, -0.0042
3.18625, -0.87813, 0.37817, 0.01594, -0.00679
3.19438, -0.8834, 0.3789, 0.01301, -0.00759
