# HFSS Simulation of Ring-Absorber with UCDim = 20 mm
# Rout = 5 mm, width = 0.1 mm on top of 2 mm FR4 with eps_r = 4.2(1+0.02i)
#"Freq [GHz]","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='0deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='5deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='10deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='15deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='20deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='25deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='30deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='35deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='40deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='45deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='50deg' w1='0.1mm'","mag(S(FloquetPort1:1,FloquetPort1:1)) [] - $phiscan='0deg' $thetascan='55deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='0deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='5deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='10deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='15deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='20deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='25deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='30deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='35deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='40deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='45deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='50deg' w1='0.1mm'","-arg(S(FloquetPort1:1,FloquetPort1:1)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='55deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='0deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='5deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='10deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='15deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='20deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='25deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='30deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='35deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='40deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='45deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='50deg' w1='0.1mm'","mag(S(FloquetPort1:2,FloquetPort1:2)) [] - $phiscan='0deg' $thetascan='55deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='0deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='5deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='10deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='15deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='20deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='25deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='30deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='35deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='40deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='45deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='50deg' w1='0.1mm'","-arg(S(FloquetPort1:2,FloquetPort1:2)*exp(4j*pi*Freq*(Lsim-lz)/c0)) [] - $phiscan='0deg' $thetascan='55deg' w1='0.1mm'"
1,0.999944852421261,0.999945057897227,0.999945777646386,0.999946639813939,0.99994822277572,0.999951501879408,0.999952300999652,0.999954490770424,0.999957575809613,0.999960916791896,0.999964952773499,0.999968594504363,-3.0571946912775,-3.06357760988607,-3.08268344631623,-3.11434855209777,3.12482560822471,3.06875828568443,3.00125462537411,2.92264705197456,2.83356087344057,2.73470046220909,2.62680291420528,2.51072602269763,0.999944950662879,0.999941710168044,0.999931945782227,0.999915415632464,0.999892047947682,0.999862669517507,0.99982188977195,0.999773038275997,0.99971395849008,0.999641595496274,0.99955331726128,0.999441145477002,-3.05719885275973,-3.06309256161953,-3.08071789421895,-3.1099025544812,3.13281278063571,3.08140116181946,3.01978336320647,2.94842345004364,2.86817340851908,2.78007290352307,2.68535635696135,2.58574994910333
1.1,0.999944646272044,0.999943175444542,0.999934172302779,0.999940880311674,0.999942699498823,0.999946210866995,0.999946664327238,0.999949455394461,0.99995360797819,1.00002238324934,0.999961428510388,0.999962329822923,-3.04863235570845,-3.05565985344613,-3.07667811854618,-3.11150696379464,3.12326006251228,3.06156440725464,2.98731975899124,2.90084855004265,2.80284471681997,2.69409602508517,2.57538901059959,2.44769668003193,0.99994542441347,0.999939618462998,0.999920222562147,0.999906709494684,0.999881254260599,0.999851852698728,0.999801918814151,0.999751594375959,0.999688045168014,0.999640160664956,0.999514662505175,0.999391604691087,-3.04863786823055,-3.05512330962487,-3.07451313367006,-3.10661358815787,3.132052645918,3.07548227198816,3.00771813633087,2.92922629155577,2.84094958128554,2.74403914665559,2.63984290364764,2.53027881005628
1.2,0.999942547884461,0.999937833621774,0.999925049298049,0.999934267864297,0.999936350138401,0.999940369889454,0.99994055386496,0.999943714775625,0.99994885123131,1.00007433867427,0.999957377770749,0.999956075123249,-3.04003317904889,-3.04770228773527,-3.07063555613243,-3.10862996666193,3.12172808582942,3.05439737658537,2.97341481911446,2.87907903423311,2.77215468704241,2.65351514396841,2.5239945525983,2.38468468860283,0.999943906932077,0.999934313704768,0.99991021064744,0.999897026202928,0.99986936155719,0.999839486576588,0.999781839609391,0.999728498684272,0.999660052113869,0.999631790446892,0.999473065944484,0.999338714278423,-3.04004039151674,-3.04711684528781,-3.06827090354832,-3.10328842732298,3.13132806076094,3.06959333164922,2.9956881680982,2.91006523481495,2.8137611693387,2.70804067088387,2.594362437208,2.47484190059927
1.3,0.999938281620059,0.999929678052861,0.9999177743228,0.999926700337771,0.999929079467947,0.999933921840948,0.999933875361395,0.999937183312156,0.999943213376836,1.00011433229505,0.999952744509217,0.999949882011327,-3.03139293260712,-3.03970134951081,-3.06455129106601,-3.10571345057772,3.12023356558596,3.04726021646394,2.95954327468997,2.85734185931431,2.74149376890422,2.61295991770996,2.47262171654094,2.32169205535942,0.999940105177984,0.999926074220477,0.999901406742183,0.999886290132558,0.999856320700716,0.999825516455277,0.999761620178442,0.999703773174324,0.999630033808473,0.999615509004477,0.999428669871977,0.999282716893062,-3.0314022594342,-3.03906894465118,-3.06198676281598,-3.09992289751468,3.13064312397526,3.06373769154214,2.98369756890587,2.89094443932804,2.78661220176895,2.67208144181357,2.54891868553814,2.41944321382835
1.4,0.99993161831991,0.999919251153934,0.999911423593932,0.999918058020824,0.999920776995271,0.99992678967256,0.999926494067338,0.999929758758183,0.999936597849652,1.00014033276494,0.999947465229563,0.999943766877636,-3.0227071272323,-3.0316533262315,-3.05842092556684,-3.10275305790492,3.11878062072883,3.04015611044969,2.94570879342691,2.83564058306327,2.71086512826522,2.57243257634793,2.42127279859733,2.25872089480837,0.999933779909389,0.999915303140758,0.999893081163912,0.999874404870089,0.999842064012544,0.999809902970849,0.999741081034192,0.99967741071195,0.999598025810045,0.999590560676406,0.999381602408655,0.99922382553822,-3.02271905588033,-3.03097526082311,-3.05565625800473,-3.09651258082983,3.13000217391384,3.05791888749192,2.97175065049231,2.8718683107202,2.75950694874679,2.63616566613684,2.50351559378677,2.36408698544396
1.5,0.999922377468435,0.999907000466912,0.999904901520232,0.999908201129182,0.999911314554583,0.999918874698767,0.999918234198802,0.999921320365903,0.999928902163055,1.00015082016503,0.999941467888726,0.999937705998,-3.01397097694336,-3.02355423766496,-3.05224013526703,-3.09974415202533,3.11737363062388,3.03308842227096,2.9319152647531,2.81397899220062,2.68027213697152,2.53193553977463,2.36995023100464,2.19577343863397,0.999924748583084,0.99990246414171,0.999884364556945,0.999861250130426,0.999826501179294,0.999792618920488,0.99971989766524,0.99964937001477,0.999564038473955,0.999556445879721,0.999331970724311,0.999162213998705,-3.01398607610616,-3.02283126646088,-3.04927491096629,-3.09305278584209,3.12940981770417,3.05214066484513,2.95985194371426,2.85284153162376,2.73244995452495,2.60029782867831,2.458157354361,2.30877772210675
1.6,0.999910425282915,0.999893277272109,0.999897079360306,0.999896966906155,0.999900543437842,0.999910055254854,0.999908880163691,0.999911726863878,0.999920015535914,1.00014486319828,0.999934670550708,0.99993163178916,-3.00517935782739,-3.01539972825184,-3.04600461824537,-3.09668178088621,3.11601726834388,3.02606071789204,2.91816682679653,2.79236113198789,2.6497184007089,2.49147148209,2.31865660028528,2.13285204682145,0.999912883835977,0.999888016604557,0.999874347736292,0.999846678481609,0.999809514748477,0.999773643874515,0.999697612877228,0.99961957087865,0.999528050240434,0.999512946770109,0.99927985380236,0.999098007482554,-3.00519828653085,-3.01463218036884,-3.04283816617002,-3.08953851285486,3.12887096473468,3.04640700545544,2.94800622367735,2.83386909684783,2.70544607411584,2.56448273327248,2.41284844037187,2.25352023342551
1.7,0.999895668569085,0.999878327179278,0.999886935718132,0.999884166225823,0.999888290988862,0.999900185663098,0.999898179431332,0.999900814176575,0.99990981564667,1.00012217862852,0.99992697975549,0.999925430349055,-2.99632676121298,-3.00718496659315,-3.03970998460896,-3.09356063433354,3.11471653947185,3.01907679091164,2.90446789852186,2.77079134037253,2.61920779037146,2.451043400361,2.26739466783589,2.06995922087679,0.999898107379659,0.999872354270146,0.999862181449466,0.999830511814464,0.999790955219952,0.999752956658609,0.999673658664191,0.999587889630507,0.9994900005669,0.999460141095523,0.999225294806892,0.999031273556807,-2.99635027920958,-3.0063728827159,-3.03634129523937,-3.08596441332479,3.12839086549233,3.04072215774839,2.936218544605,2.81495635386185,2.67850051436017,2.52872554793532,2.36759364316338,2.19831966857123
1.8,0.999878044346895,0.999862275202348,0.999873677378688,0.999869579575906,0.999874356563881,0.99988909541977,0.999885846781102,0.999888392755033,0.999898164478999,1.00008317048483,0.999918288561771,0.999918940351225,-2.98740723989502,-2.99890455037756,-3.03335158870166,-3.0903749938228,3.11347682770539,3.01214069205972,2.89082321829363,2.74927428773046,2.58874447768367,2.41065468638757,2.21616739336203,2.0070976198295,0.999880379323587,0.999855750503514,0.999847162125629,0.999812537459594,0.999770635727281,0.999730525904222,0.999647386642385,0.999554154706383,0.999449782577165,0.999398402991381,0.999168293105661,0.998962013420002,-2.98743621984952,-2.99804782293873,-3.02977926108747,-3.08232474212512,3.12797515703307,3.035090670552,2.92449428687962,2.79610904981041,2.65161888030255,2.49303185496739,2.32239811473138,2.14318155871676
1.9,0.999857505400298,0.999845107997446,0.999856819710064,0.999852952260116,0.999858506734926,0.999876588465363,0.99987156951989,0.999874244348316,0.99988490323075,1.00002894709282,0.99990847421291,0.999911953292856,-2.97841434590483,-2.99055241575515,-3.02692431423688,-3.08711867287987,3.11230394875796,3.00525676368261,2.87723789029862,2.7278150234554,2.55833297600661,2.3703092000338,2.16497796173707,1.94427007980686,0.999859683113658,0.999838312483923,0.999828790745994,0.999792503810872,0.999748326277316,0.999706298960472,0.999618105439663,0.999518142186103,0.999407235480326,0.999328389816684,0.999108795987685,0.998890153501642,-2.97844978800046,-2.98965092346853,-3.02314654868635,-3.07861330112362,3.12762991658212,3.02951743157144,2.91283921868476,2.77733338649637,2.62480722803924,2.45740770686375,2.27726741604037,2.08811186674596
